metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2+Mask,13,GATv2+Mask,0.600152,0.839299,higher,0.239147,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.600152,0.900229,higher,0.300076,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.600152,0.905941,higher,0.305788,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.600152,0.838157,higher,0.238005,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.600152,0.920030,higher,0.319878,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs LSTM,13,LSTM,0.472201,0.839299,higher,0.367098,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs LSTM,42,LSTM,0.392993,0.900229,higher,0.507235,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs LSTM,55,LSTM,0.219726,0.905941,higher,0.686215,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs LSTM,67,LSTM,0.288271,0.838157,higher,0.549886,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs LSTM,78,LSTM,0.136710,0.920030,higher,0.783321,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs EOPKG-WI,13,EOPKG-WI,0.571592,0.839299,higher,0.267708,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs EOPKG-WI,42,EOPKG-WI,0.514090,0.900229,higher,0.386139,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs EOPKG-WI,55,EOPKG-WI,0.428027,0.905941,higher,0.477913,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
