metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
test_strict_error_but_allowed_rate_mask_card_2,0.157 ± 0.034,0.190 ± 0.046,0.167 ± 0.031,0.041 ± 0.002,0.051 ± 0.003
test_strict_error_but_allowed_rate_mask_card_3_plus,0.183 ± 0.022,0.235 ± 0.046,0.237 ± 0.067,0.097 ± 0.002,0.090 ± 0.002
test_strict_error_but_allowed_rate_v1,0.088 ± 0.018,0.112 ± 0.018,0.105 ± 0.016,0.080 ± 0.001,0.073 ± 0.002
test_strict_error_but_allowed_rate_v2,0.093 ± 0.013,0.111 ± 0.022,0.100 ± 0.021,0.079 ± 0.003,0.075 ± 0.001
test_target_in_mask_rate,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_len_11_20,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_len_1_5,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_len_21_plus,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_len_6_10,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_mask_card_1,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_mask_card_2,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_mask_card_3_plus,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_v1,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_target_in_mask_rate_v2,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_top3_accuracy,0.994 ± 0.001,0.995 ± 0.001,0.995 ± 0.001,0.996 ± 0.000,0.996 ± 0.001
test_weighted_f1,0.980 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.992 ± 0.009,1.000 ± 0.000
train_allowed_set_mass_leakage,0.082 ± 0.005,0.965 ± 0.002,0.002 ± 0.000,,
train_candidate_class_score_mean_abs,,,,91504.443 ± 0.017,91509.194 ± 0.231
train_candidate_dynamic_count,,,,40.882 ± 0.000,40.882 ± 0.000
train_candidate_invalid_probability_mass,,,,0.261 ± 0.004,0.002 ± 0.001
train_candidate_missing_target_rate,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_node_score_mean_abs,,,,1.293 ± 0.019,6.517 ± 0.253
train_candidate_oos_rate,,,,0.160 ± 0.004,0.000 ± 0.000
train_candidate_pred_score,,,,6.028 ± 0.041,5.773 ± 0.106
train_candidate_prediction_entropy,,,,1.041 ± 0.007,0.159 ± 0.007
train_candidate_score_gap,,,,0.403 ± 0.013,0.050 ± 0.001
train_candidate_seen_score_mean,,,,-0.344 ± 0.047,-6.185 ± 0.260
train_candidate_seen_unseen_score_gap,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_target_duplicate_count_max,,,,1.000 ± 0.000,1.000 ± 0.000
train_candidate_target_in_candidate_set_rate,,,,1.000 ± 0.000,1.000 ± 0.000
train_candidate_target_score,,,,5.625 ± 0.046,5.722 ± 0.105
train_candidate_target_set_entropy_mean,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_target_set_logit_variance_mean,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_temperature,,,,0.100 ± 0.000,0.100 ± 0.000
train_candidate_unseen_candidate_rate,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_unseen_score_mean,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_unseen_target_rate,,,,0.000 ± 0.000,0.000 ± 0.000
train_candidate_valid_invalid_logit_margin,,,,2.708 ± 0.028,10.178 ± 0.347
train_candidate_valid_probability_mass,,,,0.739 ± 0.004,0.998 ± 0.001
train_duplicate_candidate_count_max,,,,1.000 ± 0.000,1.000 ± 0.000
train_grad_norm_observed,3.004 ± 0.290,0.736 ± 0.048,0.771 ± 0.059,1.192 ± 0.079,0.174 ± 0.013
train_grad_norm_struct_xattn,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
train_grad_norm_structural,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,1.264 ± 0.090,0.101 ± 0.013
train_impulse_activation_max_abs,,,,0.000 ± 0.000,6.799 ± 1.001
train_impulse_activation_mean_abs,,,,0.000 ± 0.000,1.126 ± 0.035
train_impulse_gnn_oversmoothing_ratio,,,,0.000 ± 0.000,0.877 ± 0.024
train_impulse_to_base_node_ratio,,,,0.000 ± 0.000,1.676 ± 0.033
